Sprat Sandeel N.pout Herring Dab Whiting Sole Gurnard Plaice Haddock Cod Saithe
2050 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918 9.86841780821918
2051 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548 8.94874794520548
2052 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415 8.82977595628415
2053 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973 9.23977260273973
2054 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575 9.36777534246575
2055 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452 8.79925205479452
2056 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678 8.57829234972678
2057 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548 9.07744794520548
2058 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781 9.17498082191781
2059 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411 9.8905095890411
