Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo BigeyeThresherShark Swordfish BlueMarlin ShortfinMakoShark Lancetfish Opah
2005 13.74 22.59 9.609 17.05 18.23 12.56 19.59 23.36 12.56 8.54 19.59 19.59 8.54 14.05
2006 13.834875 22.8257083333333 9.64041666666667 17.2512083333333 18.4698333333333 12.625125 19.878125 23.6162083333333 12.625125 8.56920833333333 19.878125 19.878125 8.56920833333333 14.1736666666667
2007 13.757375 22.7715416666667 9.60291666666667 17.1570416666667 18.3923333333333 12.562625 19.825625 23.7020416666667 12.562625 8.53920833333333 19.825625 19.825625 8.53920833333333 14.0603333333333
2008 13.7807083333333 23.069875 9.62041666666667 17.215375 18.4781666666667 12.5842916666667 19.9414583333333 23.9437083333333 12.5842916666667 8.55504166666667 19.9414583333333 19.9414583333333 8.55504166666667 14.0578333333333
2009 13.9640416666667 23.282375 9.73458333333333 17.4737083333333 18.7573333333333 12.745125 20.2264583333333 23.9212083333333 12.745125 8.65254166666666 20.2264583333333 20.2264583333333 8.65254166666666 14.3036666666667
2010 13.917375 22.894875 9.70958333333333 17.352875 18.5973333333333 12.7134583333333 20.025625 23.5912083333333 12.7134583333333 8.62920833333333 20.025625 20.025625 8.62920833333333 14.2628333333333
2011 13.8382083333333 22.9590416666667 9.67458333333333 17.2262083333333 18.459 12.650125 19.8797916666667 23.955375 12.650125 8.60254166666667 19.8797916666667 19.8797916666667 8.60254166666667 14.112
2012 13.8765416666667 23.1882083333333 9.70875 17.262875 18.4915 12.6909583333333 19.915625 24.0037083333333 12.6909583333333 8.63004166666667 19.915625 19.915625 8.63004166666667 14.1395
2013 13.817375 23.434875 9.67541666666667 17.1887083333333 18.4348333333333 12.6367916666667 19.920625 24.497875 12.6367916666667 8.600875 19.920625 19.920625 8.600875 14.002
2014 13.9415416666667 23.529875 9.76541666666667 17.347875 18.6156666666667 12.7509583333333 20.1247916666667 24.3362083333333 12.7509583333333 8.680875 20.1247916666667 20.1247916666667 8.680875 14.1745
2015 14.089875 23.6557083333333 9.85541666666667 17.5337083333333 18.8148333333333 12.8859583333333 20.3264583333333 24.4637083333333 12.8859583333333 8.75420833333333 20.3264583333333 20.3264583333333 8.75420833333333 14.3403333333333
2016 14.144875 23.2932083333333 9.88291666666667 17.575375 18.8256666666667 12.937625 20.2747916666667 24.0512083333333 12.937625 8.773375 20.2747916666667 20.2747916666667 8.773375 14.462
2017 14.142375 23.247375 9.88125 17.5595416666667 18.7948333333333 12.9392916666667 20.208125 24.0387083333333 12.9392916666667 8.768375 20.208125 20.208125 8.768375 14.4528333333333
2018 14.1090416666667 23.2382083333333 9.84958333333333 17.5412083333333 18.7831666666667 12.900125 20.218125 24.0062083333333 12.900125 8.74420833333333 20.218125 20.218125 8.74420833333333 14.4253333333333
2019 14.0765416666667 23.3965416666667 9.81458333333333 17.5637083333333 18.8415 12.860125 20.3247916666667 24.2395416666667 12.860125 8.71504166666667 20.3247916666667 20.3247916666667 8.71504166666667 14.3795
2020 13.9615416666667 23.447375 9.75625 17.3945416666667 18.654 12.760125 20.1397916666667 24.250375 12.760125 8.665875 20.1397916666667 20.1397916666667 8.665875 14.2203333333333
2021 14.087375 23.5432083333333 9.84625 17.5320416666667 18.7923333333333 12.8792916666667 20.273125 24.272875 12.8792916666667 8.745875 20.273125 20.273125 8.745875 14.3703333333333
2022 14.009875 23.289875 9.79041666666667 17.3995416666667 18.6365 12.8109583333333 20.0889583333333 24.1837083333333 12.8109583333333 8.695875 20.0889583333333 20.0889583333333 8.695875 14.2761666666667
2023 13.9665416666667 23.2865416666667 9.74958333333333 17.3695416666667 18.6123333333333 12.765125 20.073125 24.092875 12.765125 8.66170833333333 20.073125 20.073125 8.66170833333333 14.2403333333333
2024 13.947375 23.2015416666667 9.73041666666667 17.3645416666667 18.6048333333333 12.7417916666667 20.0622916666667 24.1537083333333 12.7417916666667 8.64504166666667 20.0622916666667 20.0622916666667 8.64504166666667 14.2236666666667
2025 13.9615416666667 23.442375 9.74458333333333 17.3995416666667 18.6531666666667 12.7509583333333 20.130625 24.3645416666667 12.7509583333333 8.65920833333333 20.130625 20.130625 8.65920833333333 14.2186666666667
2026 13.934875 23.6590416666667 9.73041666666667 17.3787083333333 18.6356666666667 12.722625 20.1239583333333 24.715375 12.722625 8.650875 20.1239583333333 20.1239583333333 8.650875 14.1536666666667
2027 14.1057083333333 23.6015416666667 9.83541666666667 17.6262083333333 18.8915 12.872625 20.358125 24.4245416666667 12.872625 8.738375 20.358125 20.358125 8.738375 14.4195
2028 14.014875 23.1507083333333 9.79375 17.430375 18.6406666666667 12.8034583333333 20.0247916666667 23.8745416666667 12.8034583333333 8.705875 20.0247916666667 20.0247916666667 8.705875 14.3386666666667
2029 13.9357083333333 23.0782083333333 9.75291666666667 17.305375 18.4998333333333 12.7392916666667 19.8789583333333 23.967875 12.7392916666667 8.67170833333333 19.8789583333333 19.8789583333333 8.67170833333333 14.2236666666667
2030 13.8490416666667 22.9557083333333 9.70125 17.1837083333333 18.3656666666667 12.6617916666667 19.7389583333333 23.9062083333333 12.6617916666667 8.63004166666667 19.7389583333333 19.7389583333333 8.63004166666667 14.1186666666667
2031 13.969875 23.2190416666667 9.75208333333333 17.4037083333333 18.6348333333333 12.752625 20.070625 23.9787083333333 12.752625 8.668375 20.070625 20.070625 8.668375 14.2836666666667
