Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo BigeyeThresherShark Swordfish BlueMarlin ShortfinMakoShark Lancetfish Opah
2005 13.74 22.59 9.609 17.05 18.23 12.56 19.59 23.36 12.56 8.54 19.59 19.59 8.54 14.05
2006 13.926125 23.0410833333333 9.696 17.2716666666667 18.4945416666667 12.7235833333333 19.928875 23.8795 12.7235833333333 8.61198333333333 19.928875 19.928875 8.61198333333333 14.1987083333333
2007 13.893625 22.5110833333333 9.72766666666667 17.1108333333333 18.255375 12.7169166666667 19.573875 23.2753333333333 12.7169166666667 8.64256666666667 19.573875 19.573875 8.64256666666667 14.1987083333333
2008 13.731125 22.2069166666667 9.62683333333333 16.9391666666667 18.0687083333333 12.5735833333333 19.348875 22.9903333333333 12.5735833333333 8.55465 19.348875 19.348875 8.55465 14.045375
2009 13.6844583333333 22.6385833333333 9.58183333333333 16.9941666666667 18.1887083333333 12.5160833333333 19.5630416666667 23.4628333333333 12.5160833333333 8.51823333333333 19.5630416666667 19.5630416666667 8.51823333333333 13.9512083333333
2010 13.751125 22.8694166666667 9.61933333333333 17.0341666666667 18.2112083333333 12.57275 19.596375 23.6136666666667 12.57275 8.55381666666667 19.596375 19.596375 8.55381666666667 14.0087083333333
2011 13.7827916666667 22.5994166666667 9.64183333333333 17.0091666666667 18.1470416666667 12.60775 19.473875 23.3836666666667 12.60775 8.57115 19.473875 19.473875 8.57115 14.0695416666667
2012 13.5594583333333 22.3885833333333 9.50933333333333 16.7891666666667 17.9695416666667 12.4119166666667 19.3430416666667 23.2628333333333 12.4119166666667 8.45765 19.3430416666667 19.3430416666667 8.45765 13.8020416666667
2013 13.658625 22.7885833333333 9.57016666666667 16.97 18.197875 12.49775 19.623875 23.5861666666667 12.49775 8.51215 19.623875 19.623875 8.51215 13.8945416666667
2014 13.841125 23.2310833333333 9.66266666666667 17.2475 18.4987083333333 12.6469166666667 19.9497083333333 24.1328333333333 12.6469166666667 8.58815 19.9497083333333 19.9497083333333 8.58815 14.0820416666667
2015 13.9244583333333 22.8619166666667 9.73016666666667 17.2858333333333 18.4745416666667 12.7319166666667 19.8530416666667 23.6211666666667 12.7319166666667 8.64606666666667 19.8530416666667 19.8530416666667 8.64606666666667 14.247875
2016 13.806125 22.7935833333333 9.65933333333333 17.1308333333333 18.3137083333333 12.6335833333333 19.6805416666667 23.5453333333333 12.6335833333333 8.58415 19.6805416666667 19.6805416666667 8.58415 14.0970416666667
2017 13.8127916666667 23.01525 9.6535 17.1766666666667 18.3912083333333 12.6285833333333 19.808875 23.7936666666667 12.6285833333333 8.5794 19.808875 19.808875 8.5794 14.0820416666667
2018 13.8927916666667 22.8335833333333 9.7085 17.2258333333333 18.4120416666667 12.7019166666667 19.7805416666667 23.6511666666667 12.7019166666667 8.62723333333333 19.7805416666667 19.7805416666667 8.62723333333333 14.1987083333333
2019 13.7827916666667 22.8210833333333 9.6335 17.1716666666667 18.3937083333333 12.59775 19.783875 23.5986666666667 12.59775 8.56281666666667 19.783875 19.783875 8.56281666666667 14.0845416666667
2020 13.7877916666667 23.2960833333333 9.626 17.2558333333333 18.5345416666667 12.59275 20.0047083333333 24.1886666666667 12.59275 8.55781666666667 20.0047083333333 20.0047083333333 8.55781666666667 14.0337083333333
2021 13.943625 23.4210833333333 9.721 17.4325 18.6887083333333 12.72775 20.1455416666667 24.2245 12.72775 8.64056666666667 20.1455416666667 20.1455416666667 8.64056666666667 14.2312083333333
2022 13.9477916666667 23.2544166666667 9.72933333333333 17.3783333333333 18.5970416666667 12.7385833333333 20.0080416666667 24.1295 12.7385833333333 8.64548333333333 20.0080416666667 20.0080416666667 8.64548333333333 14.2395416666667
2023 13.9069583333333 23.4735833333333 9.6835 17.3908333333333 18.657875 12.6935833333333 20.1330416666667 24.2253333333333 12.6935833333333 8.6049 20.1330416666667 20.1330416666667 8.6049 14.172875
2024 14.0827916666667 23.4869166666667 9.79683333333333 17.6133333333333 18.9012083333333 12.85275 20.413875 24.1786666666667 12.85275 8.69998333333333 20.413875 20.413875 8.69998333333333 14.4120416666667
2025 13.9919583333333 23.4235833333333 9.76183333333333 17.4691666666667 18.7295416666667 12.7819166666667 20.188875 24.262 12.7819166666667 8.67331666666666 20.188875 20.188875 8.67331666666666 14.2762083333333
2026 13.9919583333333 22.7785833333333 9.80516666666667 17.3141666666667 18.465375 12.8035833333333 19.758875 23.8111666666667 12.8035833333333 8.71206666666667 19.758875 19.758875 8.71206666666667 14.3087083333333
2027 14.0077916666667 23.0985833333333 9.78016666666667 17.4716666666667 18.692875 12.7985833333333 20.0680416666667 23.8603333333333 12.7985833333333 8.68565 20.0680416666667 20.0680416666667 8.68565 14.352875
2028 14.0944583333333 23.46775 9.83183333333333 17.6183333333333 18.862875 12.87275 20.291375 24.2053333333333 12.87275 8.7309 20.291375 20.291375 8.7309 14.4312083333333
2029 14.2169583333333 23.3919166666667 9.90933333333333 17.7058333333333 18.9262083333333 12.98025 20.3322083333333 24.2203333333333 12.98025 8.7989 20.3322083333333 20.3322083333333 8.7989 14.577875
2030 14.101125 23.23025 9.83016666666667 17.5691666666667 18.7920416666667 12.8744166666667 20.2022083333333 23.9778333333333 12.8744166666667 8.73206666666667 20.2022083333333 20.2022083333333 8.73206666666667 14.4612083333333
2031 14.1144583333333 23.4394166666667 9.84433333333333 17.6683333333333 18.952875 12.8885833333333 20.4130416666667 24.2445 12.8885833333333 8.74215 20.4130416666667 20.4130416666667 8.74215 14.4637083333333
