species,w_inf,w_mat,beta,sigma,r_max,k_vb
Sprat,33,13,51076,0.8,7.38E+11,0.681
Sandeel,36,4,398849,1.9,4.10E+11,1
N.pout,100,23,22,1.5,1.05E+13,0.849
Herring,334,99,280540,3.2,1.11E+12,0.606
Dab,324,21,191,1.9,1.12E+10,0.536
Whiting,1192,75,22,1.5,5.48E+11,0.323
Sole,866,78,381,1.9,3.87E+10,0.284
Gurnard,668,39,283,1.8,1.65E+12,0.266
Plaice,2976,105,113,1.6,4.08E+14,0.122
Haddock,4316.5,165,558,2.1,1.84E+12,0.271
Cod,39851.3,1606,66,1.3,8.26E+09,0.216
Saithe,39658.6,1076,40,1.1,1.12E+11,0.175
